pedido_id,cliente_id,restaurante_id,producto_id,fecha_id,estado_pedido,cantidad,monto_total
57,118,3,19,468,preparando,2,13.96
58,184,3,14,37,completado,1,16.67
59,167,7,83,633,cancelado,4,34.92
60,162,11,99,364,preparando,3,42.03
61,78,7,14,508,pendiente,3,50.01
62,150,16,62,212,preparando,3,17.94
63,104,3,74,618,preparando,2,25.04
64,179,9,73,715,preparando,4,53.72
65,67,14,76,447,preparando,1,3.37
66,133,3,54,297,cancelado,1,13.63
67,101,16,43,218,pendiente,1,17.51
68,192,15,20,191,completado,3,50.85
69,78,9,45,625,preparando,4,64.48
70,167,7,85,592,preparando,1,10.69
71,191,16,76,310,cancelado,2,6.74
72,62,18,81,237,completado,4,25.44
73,2,8,87,506,cancelado,4,46.72
74,37,15,64,262,pendiente,1,11.07
75,162,18,41,307,completado,2,22.82
76,73,16,71,613,pendiente,4,37.44
77,49,15,82,268,pendiente,3,53.01
78,55,5,66,43,pendiente,3,57.72
79,198,9,17,477,completado,4,53.56
80,165,16,100,610,cancelado,3,57.96
81,43,1,79,140,preparando,3,32.01
82,187,12,93,673,preparando,3,56.55
83,33,13,77,217,pendiente,1,10.44
84,99,11,53,213,preparando,2,29.66
85,157,11,17,335,completado,2,26.78
86,55,18,74,201,pendiente,2,25.04
87,18,1,8,225,cancelado,4,67.4
88,33,10,31,261,preparando,4,47.4
89,107,13,42,404,pendiente,1,6.06
90,133,11,23,707,pendiente,1,17.05
91,200,2,84,622,completado,2,33.36
92,48,2,42,559,completado,4,24.24
93,53,19,87,216,cancelado,1,11.68
94,150,8,50,284,pendiente,1,15.5
95,61,15,46,232,cancelado,2,13.54
96,195,8,2,191,preparando,1,19.45
97,184,4,4,288,pendiente,4,69.2
98,65,17,59,666,completado,4,25.88
99,179,7,21,134,preparando,3,31.14
100,150,15,96,461,completado,4,21.56
101,140,1,11,478,pendiente,2,15.04
102,79,2,41,136,completado,2,22.82
103,71,15,90,368,completado,3,34.35
104,166,18,33,195,completado,3,42.54
105,108,5,98,74,cancelado,3,46.5
106,180,6,76,437,cancelado,2,6.74
107,181,7,69,690,preparando,4,54.16
108,57,7,70,123,cancelado,1,4.2
109,172,7,1,93,completado,2,12.48
110,11,11,35,299,preparando,3,21.81
111,170,7,13,183,cancelado,3,41.46
112,143,14,22,328,preparando,2,32.86
113,81,12,87,471,preparando,2,23.36
114,147,3,52,239,pendiente,1,8.39
115,194,6,60,196,pendiente,2,35.4
116,48,2,86,92,pendiente,1,5.24
117,85,10,65,414,pendiente,3,38.43
118,7,16,38,517,preparando,4,32.32
119,72,7,31,141,cancelado,4,47.4
120,34,1,41,672,preparando,1,11.41
121,163,16,26,170,cancelado,1,10.08
122,160,4,3,2,completado,3,28.47
123,93,5,53,207,preparando,2,29.66
124,4,15,52,486,pendiente,1,8.39
125,48,8,19,462,completado,1,6.98
126,57,9,86,526,preparando,4,20.96
127,79,10,77,394,completado,4,41.76
128,8,1,67,708,pendiente,3,24.72
129,49,15,17,449,cancelado,1,13.39
130,67,7,21,575,preparando,1,10.38
131,11,3,57,668,completado,1,17.22
132,109,4,55,138,preparando,4,29.16
133,127,2,67,497,cancelado,4,32.96
134,130,8,93,619,completado,2,37.7
135,96,5,32,595,preparando,2,34.72
136,136,5,74,234,cancelado,3,37.56
137,10,13,80,284,cancelado,3,50.25
138,124,2,82,725,cancelado,2,35.34
139,149,5,63,76,pendiente,3,16.86
140,99,6,61,198,completado,3,34.86
141,173,15,90,610,cancelado,2,22.9
142,48,18,75,314,preparando,2,33.74
143,43,1,9,92,preparando,1,8.7
144,8,8,24,706,cancelado,1,12.35
145,80,18,52,303,cancelado,2,16.78
146,178,13,51,659,completado,3,30.21
147,120,16,84,262,cancelado,3,50.04
148,61,8,13,382,cancelado,1,13.82
149,41,9,22,691,pendiente,2,32.86
150,147,10,28,105,completado,4,12.76
151,100,1,75,102,pendiente,1,16.87
152,129,20,90,318,cancelado,1,11.45
153,164,19,21,227,completado,1,10.38
154,163,14,65,510,preparando,1,12.81
155,22,14,37,74,pendiente,2,12.42
156,133,17,13,518,cancelado,3,41.46
157,38,2,29,97,pendiente,1,9.41
158,21,6,72,517,completado,2,36.22
159,148,14,19,15,preparando,4,27.92
160,138,3,82,707,cancelado,3,53.01
161,69,6,15,528,preparando,2,34.46
162,77,14,25,337,preparando,1,17.11
163,138,7,40,365,preparando,4,39.0
164,182,16,100,540,pendiente,2,38.64
165,26,19,61,477,pendiente,3,34.86
166,77,4,70,140,pendiente,3,12.6
167,155,16,68,152,cancelado,4,74.0
168,23,20,5,310,completado,2,36.32
169,179,16,14,724,cancelado,3,50.01
170,86,19,53,221,pendiente,1,14.83
171,114,16,17,103,pendiente,1,13.39
172,173,15,60,592,pendiente,1,17.7
173,51,10,1,635,pendiente,4,24.96
174,11,10,96,87,completado,1,5.39
175,40,10,39,256,cancelado,3,12.96
176,129,8,69,15,completado,2,27.08
177,153,18,38,248,cancelado,3,24.24
178,170,2,15,389,completado,2,34.46
179,200,3,43,154,completado,3,52.53
180,79,15,70,443,pendiente,3,12.6
181,185,11,55,183,preparando,1,7.29
182,11,10,51,124,cancelado,1,10.07
183,22,13,40,451,cancelado,3,29.25
184,21,10,50,592,completado,3,46.5
185,57,8,99,381,completado,1,14.01
186,99,12,84,26,preparando,3,50.04
187,170,14,63,474,cancelado,3,16.86
188,113,8,28,700,pendiente,4,12.76
189,7,17,14,315,cancelado,1,16.67
190,101,12,6,348,completado,4,13.12
191,178,14,3,427,pendiente,2,18.98
192,60,18,79,721,completado,2,21.34
193,9,4,86,719,pendiente,4,20.96
194,165,2,20,660,completado,4,67.8
195,96,18,57,387,cancelado,4,68.88
196,68,4,8,50,preparando,2,33.7
197,59,10,85,89,preparando,4,42.76
198,71,10,10,6,preparando,1,5.65
199,4,20,28,520,preparando,2,6.38
200,56,3,85,706,completado,3,32.07
201,110,18,69,122,cancelado,3,40.62
202,189,1,33,414,pendiente,4,56.72
203,113,6,77,439,pendiente,3,31.32
204,12,15,78,335,cancelado,3,37.05
205,128,18,93,687,completado,3,56.55
206,143,19,34,531,completado,1,12.57
207,172,7,2,699,cancelado,3,58.35
208,193,9,59,129,preparando,1,6.47
209,88,14,64,482,preparando,2,22.14
210,31,13,16,168,cancelado,4,22.08
211,176,5,61,233,pendiente,1,11.62
212,86,6,83,490,cancelado,3,26.19
213,152,18,59,428,pendiente,3,19.41
214,85,1,83,645,cancelado,3,26.19
215,156,20,56,711,pendiente,1,13.4
216,33,14,49,558,completado,1,12.59
217,77,6,86,583,cancelado,2,10.48
218,12,14,61,260,cancelado,1,11.62
219,190,4,55,548,preparando,2,14.58
220,188,19,97,550,completado,1,16.37
221,117,4,3,260,pendiente,2,18.98
222,10,5,42,145,preparando,3,18.18
223,188,6,22,466,cancelado,3,49.29
224,14,3,100,667,completado,3,57.96
225,181,5,92,38,pendiente,1,13.96
226,88,16,12,697,pendiente,4,43.48
227,89,14,3,638,preparando,4,37.96
228,79,17,59,140,completado,2,12.94
229,41,9,66,665,pendiente,3,57.72
230,9,16,25,574,pendiente,3,51.33
231,20,11,16,598,completado,2,11.04
232,130,1,14,22,pendiente,3,50.01
233,30,9,10,217,preparando,4,22.6
234,44,20,100,593,completado,1,19.32
235,170,11,82,182,preparando,4,70.68
236,138,7,49,563,completado,3,37.77
237,175,2,86,721,preparando,2,10.48
238,155,1,53,401,completado,1,14.83
239,105,9,56,178,completado,1,13.4
240,77,20,81,388,preparando,3,19.08
241,117,11,71,151,completado,2,18.72
242,175,8,81,477,completado,2,12.72
243,2,5,46,713,completado,1,6.77
244,125,3,20,682,pendiente,4,67.8
245,166,2,7,468,pendiente,1,18.94
246,15,9,72,414,cancelado,3,54.33
247,116,20,17,257,pendiente,1,13.39
248,112,14,15,517,preparando,1,17.23
249,176,13,20,611,pendiente,4,67.8
250,172,6,74,604,cancelado,3,37.56
251,31,14,85,706,cancelado,4,42.76
252,198,17,17,690,pendiente,2,26.78
253,64,10,43,485,cancelado,1,17.51
254,170,18,79,656,preparando,4,42.68
255,95,9,7,282,pendiente,4,75.76
256,36,12,14,117,preparando,4,66.68
257,142,17,69,63,cancelado,3,40.62
258,120,8,5,377,preparando,3,54.48
259,194,12,50,362,completado,4,62.0
260,76,3,100,415,cancelado,2,38.64
261,38,15,64,344,completado,3,33.21
262,23,13,1,415,pendiente,4,24.96
263,84,13,25,728,cancelado,1,17.11
264,56,11,49,192,completado,2,25.18
265,75,14,6,487,completado,1,3.28
266,96,19,20,363,cancelado,3,50.85
267,102,1,91,554,preparando,1,18.58
268,73,5,31,704,preparando,2,23.7
269,184,18,31,517,pendiente,1,11.85
270,176,20,64,425,completado,4,44.28
271,189,16,76,537,completado,2,6.74
272,179,10,98,11,completado,1,15.5
273,161,3,88,576,preparando,3,51.12
274,156,16,49,134,pendiente,4,50.36
275,17,17,83,442,cancelado,3,26.19
276,88,8,61,56,pendiente,4,46.48
277,16,18,34,53,pendiente,3,37.71
278,57,2,9,177,pendiente,3,26.1
279,123,3,50,591,completado,2,31.0
280,122,6,54,17,cancelado,4,54.52
281,1,2,69,560,preparando,4,54.16
282,166,11,75,349,pendiente,4,67.48
283,169,14,91,635,pendiente,2,37.16
284,116,3,62,420,cancelado,3,17.94
285,111,6,77,478,cancelado,3,31.32
286,97,10,18,429,pendiente,3,44.43
287,188,15,31,419,preparando,1,11.85
288,98,18,62,302,cancelado,1,5.98
289,4,10,27,496,pendiente,3,46.5
290,75,19,21,560,completado,1,10.38
291,132,15,71,375,preparando,3,28.08
292,193,9,74,375,completado,4,50.08
293,31,13,26,268,preparando,1,10.08
294,186,20,19,263,completado,3,20.94
295,12,17,77,33,preparando,4,41.76
296,116,18,24,38,cancelado,1,12.35
297,101,5,41,349,cancelado,1,11.41
298,57,13,6,418,completado,3,9.84
299,19,9,54,305,completado,4,54.52
300,105,5,54,551,pendiente,2,27.26
301,91,17,78,289,completado,1,12.35
302,124,7,99,166,completado,3,42.03
303,90,14,46,320,cancelado,3,20.31
304,33,10,47,589,cancelado,1,15.92
305,188,15,82,287,cancelado,3,53.01
306,158,12,42,681,cancelado,2,12.12
307,25,20,52,446,cancelado,3,25.17
308,3,15,13,545,completado,3,41.46
309,50,10,79,614,completado,3,32.01
310,41,9,48,514,completado,3,34.86
311,118,9,69,542,pendiente,4,54.16
312,180,10,10,382,pendiente,4,22.6
313,20,20,15,506,completado,4,68.92
314,175,20,34,487,preparando,2,25.14
315,68,14,12,230,completado,1,10.87
316,119,16,52,439,preparando,1,8.39
317,188,12,90,306,completado,2,22.9
318,97,5,75,268,completado,2,33.74
319,57,12,80,649,pendiente,2,33.5
320,150,18,75,495,pendiente,4,67.48
321,21,13,12,582,cancelado,1,10.87
322,132,9,19,288,pendiente,3,20.94
323,144,18,29,439,preparando,1,9.41
324,1,18,6,170,completado,4,13.12
325,173,3,66,408,pendiente,1,19.24
326,45,14,95,68,pendiente,1,19.3
327,78,16,97,267,cancelado,4,65.48
328,45,13,77,623,pendiente,4,41.76
329,132,14,96,299,preparando,1,5.39
330,132,16,91,270,cancelado,3,55.74
331,181,1,28,207,preparando,3,9.57
332,190,9,45,217,cancelado,4,64.48
333,68,16,9,21,preparando,4,34.8
334,166,2,25,74,preparando,4,68.44
335,78,7,75,547,cancelado,3,50.61
336,159,15,81,697,cancelado,4,25.44
337,186,14,69,691,cancelado,4,54.16
338,34,7,25,553,cancelado,4,68.44
339,190,2,55,345,cancelado,2,14.58
340,170,12,95,132,cancelado,3,57.9
341,56,17,16,539,preparando,1,5.52
342,126,11,64,274,completado,3,33.21
343,178,6,84,617,completado,4,66.72
344,53,19,68,652,preparando,4,74.0
345,197,17,27,99,cancelado,3,46.5
346,71,11,73,552,pendiente,2,26.86
347,23,1,23,472,pendiente,3,51.15
348,152,13,49,622,completado,2,25.18
349,80,5,4,499,cancelado,3,51.9
350,68,15,45,618,cancelado,2,32.24
351,55,4,18,56,pendiente,3,44.43
352,193,20,45,580,preparando,3,48.36
353,30,1,82,169,completado,2,35.34
354,168,18,28,634,pendiente,4,12.76
355,166,9,35,111,completado,2,14.54
356,45,17,7,433,preparando,4,75.76
357,191,18,16,101,pendiente,2,11.04
358,63,7,12,674,pendiente,3,32.61
359,159,2,25,260,completado,1,17.11
360,70,14,13,220,preparando,3,41.46
361,60,3,12,117,preparando,4,43.48
362,126,4,68,237,cancelado,2,37.0
363,89,14,11,342,cancelado,1,7.52
364,74,2,75,647,preparando,2,33.74
365,20,8,80,412,cancelado,1,16.75
366,112,13,14,255,completado,2,33.34
367,32,8,52,711,preparando,1,8.39
368,174,10,38,364,preparando,3,24.24
369,40,18,3,24,cancelado,1,9.49
370,140,4,58,44,cancelado,1,13.72
371,53,18,86,57,cancelado,2,10.48
372,32,13,62,400,preparando,1,5.98
373,41,7,75,310,preparando,4,67.48
374,137,16,86,621,pendiente,1,5.24
375,34,18,87,271,pendiente,4,46.72
376,186,19,95,2,completado,4,77.2
377,17,4,39,460,completado,3,12.96
378,20,5,57,145,completado,1,17.22
379,151,19,76,541,cancelado,1,3.37
380,62,1,23,368,completado,3,51.15
381,190,7,75,282,preparando,2,33.74
382,58,13,88,144,completado,4,68.16
383,180,19,28,415,pendiente,2,6.38
384,76,19,87,682,pendiente,4,46.72
385,40,11,66,436,pendiente,4,76.96
386,101,18,32,313,completado,4,69.44
387,88,19,4,699,cancelado,3,51.9
388,22,15,30,249,cancelado,1,3.93
389,99,16,39,625,pendiente,2,8.64
390,33,14,40,541,cancelado,4,39.0
391,40,20,49,199,completado,3,37.77
392,118,17,81,349,cancelado,2,12.72
393,58,14,25,644,preparando,3,51.33
394,79,20,10,168,pendiente,1,5.65
395,23,7,81,567,completado,1,6.36
396,156,4,82,392,completado,1,17.67
397,194,4,34,193,cancelado,4,50.28
398,33,15,56,512,preparando,2,26.8
399,134,8,29,297,cancelado,3,28.23
400,173,7,60,696,pendiente,4,70.8
401,179,8,75,292,pendiente,1,16.87
402,7,4,45,447,preparando,3,48.36
403,57,5,33,343,cancelado,1,14.18
404,60,15,22,725,pendiente,1,16.43
405,162,15,60,164,cancelado,4,70.8
406,190,8,15,340,cancelado,2,34.46
407,137,6,14,404,preparando,3,50.01
408,141,14,29,277,cancelado,4,37.64
409,78,8,49,242,cancelado,2,25.18
410,29,8,47,204,completado,4,63.68
411,108,9,70,603,completado,3,12.6
412,10,4,74,235,preparando,3,37.56
413,101,12,29,484,preparando,2,18.82
414,146,19,70,640,pendiente,3,12.6
415,40,16,44,13,completado,3,38.46
416,9,19,94,563,preparando,3,20.13
417,41,14,52,92,preparando,2,16.78
418,72,4,29,622,preparando,4,37.64
419,53,1,6,476,cancelado,4,13.12
420,139,4,22,96,pendiente,4,65.72
421,72,7,28,60,completado,3,9.57
422,130,20,67,186,cancelado,4,32.96
423,193,2,13,468,completado,1,13.82
424,96,14,70,477,preparando,1,4.2
425,95,14,88,339,pendiente,3,51.12
426,121,16,23,24,cancelado,4,68.2
427,1,16,1,351,pendiente,1,6.24
428,16,16,75,315,cancelado,4,67.48
429,28,2,60,322,preparando,2,35.4
430,175,3,57,469,preparando,4,68.88
431,3,19,87,661,preparando,4,46.72
432,197,13,40,325,preparando,3,29.25
433,179,3,4,586,pendiente,3,51.9
434,28,15,47,251,completado,1,15.92
435,108,14,89,220,completado,2,19.5
436,5,4,55,33,preparando,2,14.58
437,60,5,51,316,pendiente,2,20.14
438,17,9,89,179,cancelado,2,19.5
439,122,17,46,503,cancelado,1,6.77
440,181,5,31,365,cancelado,2,23.7
441,114,1,25,273,pendiente,2,34.22
442,133,2,31,202,preparando,2,23.7
443,142,19,27,635,cancelado,3,46.5
444,121,4,18,628,completado,3,44.43
445,114,20,94,384,preparando,3,20.13
446,84,17,81,425,pendiente,4,25.44
447,90,6,39,643,cancelado,2,8.64
448,4,1,45,575,completado,4,64.48
449,57,2,64,354,pendiente,3,33.21
450,47,7,68,477,cancelado,1,18.5
451,19,17,87,130,preparando,3,35.04
452,40,20,55,212,preparando,2,14.58
453,169,1,98,327,completado,3,46.5
454,194,18,42,117,completado,2,12.12
455,15,15,2,101,completado,2,38.9
456,65,11,74,316,cancelado,4,50.08
457,170,2,53,651,completado,2,29.66
458,154,20,96,208,preparando,1,5.39
459,83,11,20,629,completado,3,50.85
460,39,3,72,278,completado,4,72.44
461,178,18,83,312,cancelado,3,26.19
462,169,12,50,429,preparando,3,46.5
463,92,10,19,517,pendiente,3,20.94
464,63,20,90,574,cancelado,1,11.45
465,185,20,83,649,completado,4,34.92
466,128,20,97,54,cancelado,3,49.11
467,95,18,71,30,preparando,2,18.72
468,175,10,21,59,preparando,3,31.14
469,73,5,100,693,preparando,3,57.96
470,200,3,86,218,completado,2,10.48
471,6,18,59,535,pendiente,1,6.47
472,125,3,12,574,pendiente,2,21.74
473,72,18,96,227,cancelado,3,16.17
474,81,7,46,387,pendiente,2,13.54
475,100,18,12,296,cancelado,1,10.87
476,182,8,52,679,pendiente,1,8.39
477,93,15,81,51,pendiente,4,25.44
478,169,8,37,281,preparando,4,24.84
479,15,10,47,1,cancelado,2,31.84
480,119,12,96,396,completado,1,5.39
481,189,10,60,177,completado,2,35.4
482,3,8,28,257,completado,3,9.57
483,135,1,90,390,completado,2,22.9
484,94,17,88,382,completado,2,34.08
485,153,6,67,136,completado,1,8.24
486,164,12,40,552,cancelado,4,39.0
487,200,3,18,257,cancelado,4,59.24
488,101,13,6,655,preparando,1,3.28
489,131,9,86,520,pendiente,2,10.48
490,51,3,64,257,cancelado,1,11.07
491,170,4,77,448,completado,1,10.44
492,89,11,45,228,cancelado,1,16.12
493,40,6,95,586,completado,4,77.2
494,22,14,86,728,pendiente,2,10.48
495,53,6,23,710,cancelado,1,17.05
496,111,7,71,695,cancelado,4,37.44
497,172,15,51,409,pendiente,2,20.14
498,57,20,75,485,completado,4,67.48
499,61,5,26,565,cancelado,3,30.24
500,129,14,17,262,completado,2,26.78
501,54,11,36,683,cancelado,4,79.52
502,48,4,26,229,completado,1,10.08
503,82,2,54,713,pendiente,2,27.26
504,187,3,17,534,cancelado,2,26.78
505,108,3,43,640,completado,2,35.02
506,27,20,49,32,pendiente,2,25.18
507,80,16,59,649,pendiente,2,12.94
508,117,2,30,124,pendiente,2,7.86
509,178,8,85,572,pendiente,3,32.07
510,55,15,47,625,preparando,3,47.76
511,80,8,87,685,cancelado,1,11.68
512,182,13,77,635,completado,1,10.44
513,157,12,52,396,cancelado,4,33.56
514,9,5,15,355,pendiente,3,51.69
515,173,15,24,184,preparando,3,37.05
516,140,20,12,236,completado,2,21.74
517,141,3,83,381,completado,3,26.19
518,24,16,45,640,completado,1,16.12
519,1,20,96,554,pendiente,4,21.56
520,183,4,22,289,preparando,4,65.72
521,188,14,72,551,pendiente,2,36.22
522,76,3,76,644,pendiente,1,3.37
523,106,15,98,678,cancelado,1,15.5
524,153,20,48,75,completado,1,11.62
525,114,5,85,112,pendiente,1,10.69
526,119,11,7,456,pendiente,1,18.94
527,120,19,17,480,pendiente,2,26.78
528,124,15,55,618,pendiente,2,14.58
529,71,19,82,727,preparando,1,17.67
530,98,7,79,65,preparando,3,32.01
531,99,16,57,275,pendiente,3,51.66
532,184,7,82,418,cancelado,2,35.34
533,163,8,27,226,pendiente,1,15.5
534,68,7,17,602,preparando,1,13.39
535,82,4,84,714,completado,1,16.68
536,92,16,26,297,completado,3,30.24
537,140,15,95,521,pendiente,1,19.3
538,19,9,26,230,preparando,3,30.24
539,86,13,85,323,cancelado,1,10.69
540,119,1,35,188,completado,3,21.81
541,124,15,57,341,cancelado,3,51.66
542,88,3,94,420,cancelado,4,26.84
543,46,19,58,76,pendiente,1,13.72
544,76,1,14,355,pendiente,1,16.67
545,124,16,84,292,preparando,2,33.36
546,16,14,24,643,pendiente,3,37.05
547,71,15,20,336,cancelado,1,16.95
548,83,18,86,548,preparando,3,15.72
549,136,19,3,601,preparando,2,18.98
550,66,17,81,214,completado,4,25.44
551,108,9,15,322,completado,2,34.46
552,195,4,42,717,cancelado,2,12.12
553,21,9,98,440,preparando,1,15.5
554,190,4,79,150,preparando,2,21.34
555,153,15,88,642,preparando,4,68.16
556,137,13,28,511,pendiente,1,3.19
557,89,18,78,674,pendiente,1,12.35
558,120,16,7,275,preparando,1,18.94
559,18,3,43,81,cancelado,1,17.51
560,87,16,54,96,cancelado,2,27.26
561,131,7,87,42,completado,4,46.72
562,189,2,3,193,preparando,2,18.98
563,197,9,35,174,cancelado,4,29.08
564,147,18,40,206,completado,1,9.75
565,2,19,13,313,cancelado,1,13.82
566,34,20,92,368,completado,3,41.88
567,65,15,22,659,preparando,4,65.72
568,66,16,82,567,preparando,1,17.67
569,22,3,85,585,pendiente,4,42.76
570,142,2,60,230,pendiente,2,35.4
571,50,19,6,314,completado,3,9.84
572,80,12,29,378,completado,3,28.23
573,124,6,26,550,preparando,4,40.32
574,148,11,64,92,cancelado,2,22.14
575,47,20,11,336,cancelado,2,15.04
576,78,10,94,140,pendiente,3,20.13
577,29,19,67,641,completado,4,32.96
578,53,8,43,319,preparando,4,70.04
579,42,2,64,79,cancelado,2,22.14
580,103,20,96,410,pendiente,1,5.39
581,21,20,66,262,cancelado,2,38.48
582,71,1,39,426,completado,2,8.64
583,29,10,76,161,completado,3,10.11
584,28,17,1,113,pendiente,2,12.48
585,137,9,52,195,completado,2,16.78
586,57,15,7,129,completado,1,18.94
587,113,3,79,9,pendiente,3,32.01
588,94,9,3,145,preparando,1,9.49
589,28,8,55,358,pendiente,3,21.87
590,75,1,37,488,cancelado,1,6.21
591,48,15,78,587,pendiente,4,49.4
592,160,6,77,40,pendiente,1,10.44
593,74,6,20,7,preparando,3,50.85
594,42,12,7,155,pendiente,3,56.82
595,137,12,9,619,preparando,2,17.4
596,169,20,16,666,pendiente,2,11.04
597,140,9,78,118,completado,2,24.7
598,91,17,47,22,completado,3,47.76
599,138,8,52,446,completado,1,8.39
600,114,16,96,265,cancelado,3,16.17
601,40,14,74,194,completado,3,37.56
602,96,9,17,120,cancelado,3,40.17
603,19,5,77,272,pendiente,3,31.32
604,79,9,26,434,preparando,4,40.32
605,82,6,34,56,completado,1,12.57
606,28,18,66,412,pendiente,2,38.48
607,46,19,10,133,completado,3,16.95
608,150,5,86,388,cancelado,1,5.24
609,8,15,37,608,cancelado,3,18.63
610,70,7,8,403,cancelado,4,67.4
611,187,2,69,492,pendiente,1,13.54
612,76,7,63,133,pendiente,2,11.24
613,161,4,21,545,cancelado,1,10.38
614,43,1,45,133,cancelado,4,64.48
615,185,10,57,527,pendiente,3,51.66
616,65,19,26,483,pendiente,4,40.32
617,175,15,56,222,preparando,1,13.4
618,45,4,64,166,preparando,1,11.07
619,68,5,23,490,completado,1,17.05
620,108,13,18,615,pendiente,1,14.81
621,45,11,33,149,cancelado,4,56.72
622,165,19,18,276,cancelado,2,29.62
623,168,17,12,232,completado,1,10.87
624,120,19,24,587,pendiente,2,24.7
625,138,17,62,230,completado,4,23.92
626,2,14,86,425,cancelado,1,5.24
627,161,10,28,81,pendiente,4,12.76
628,185,2,93,676,completado,1,18.85
629,13,18,71,24,preparando,3,28.08
630,163,15,89,585,pendiente,1,9.75
631,179,6,85,484,completado,1,10.69
632,46,2,75,480,cancelado,2,33.74
633,78,9,26,152,cancelado,1,10.08
634,101,11,20,223,pendiente,3,50.85
635,183,1,37,70,cancelado,3,18.63
636,144,7,79,139,cancelado,4,42.68
637,114,12,38,207,pendiente,4,32.32
638,83,6,21,387,cancelado,3,31.14
639,58,16,96,401,cancelado,3,16.17
640,70,3,34,568,cancelado,1,12.57
641,144,20,84,353,preparando,2,33.36
642,84,14,27,298,pendiente,4,62.0
643,167,1,75,61,cancelado,4,67.48
644,26,5,16,687,preparando,1,5.52
645,160,17,62,406,completado,2,11.96
646,79,10,50,280,pendiente,4,62.0
647,36,14,43,435,completado,3,52.53
648,111,10,4,316,preparando,2,34.6
649,8,20,22,517,completado,2,32.86
650,52,18,65,449,cancelado,2,25.62
651,58,15,14,16,pendiente,4,66.68
652,96,14,16,711,cancelado,4,22.08
653,122,10,2,608,cancelado,4,77.8
654,128,3,84,137,completado,1,16.68
655,84,17,44,480,preparando,1,12.82
656,173,15,79,4,completado,3,32.01
657,40,11,55,450,preparando,2,14.58
658,158,19,92,616,completado,4,55.84
659,88,19,83,713,preparando,3,26.19
660,148,13,37,416,completado,3,18.63
661,185,14,91,370,cancelado,1,18.58
662,145,19,89,130,pendiente,3,29.25
663,161,2,42,119,pendiente,3,18.18
664,57,11,47,462,completado,1,15.92
665,102,8,61,191,preparando,2,23.24
666,135,19,70,635,pendiente,4,16.8
667,56,9,96,514,preparando,1,5.39
668,45,3,26,98,preparando,4,40.32
669,44,18,57,41,pendiente,4,68.88
670,52,18,34,379,pendiente,2,25.14
671,183,17,81,69,cancelado,2,12.72
672,150,16,6,114,cancelado,1,3.28
673,42,17,77,421,pendiente,2,20.88
674,169,14,84,277,cancelado,2,33.36
675,197,12,95,647,cancelado,2,38.6
676,109,7,38,503,completado,3,24.24
677,129,17,36,509,preparando,3,59.64
678,173,9,30,191,cancelado,2,7.86
679,73,20,17,117,cancelado,1,13.39
680,28,7,14,723,preparando,3,50.01
681,168,15,61,178,preparando,3,34.86
682,19,5,7,704,pendiente,3,56.82
683,172,6,18,599,cancelado,2,29.62
684,32,13,70,666,pendiente,3,12.6
685,149,7,74,568,preparando,2,25.04
686,183,18,86,77,cancelado,1,5.24
